/Users/vladimirpylov/kuvalda_automation_kit/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[1/4] Discovering article URLs...
Discovered 406 article URLs
[166/406 новая статья 166/406] https://www.kuvalda.ru/blog/articles/newinstr/chistaya-rabota.html
[167/406 новая статья 167/406] https://www.kuvalda.ru/blog/articles/raznoe/proekt-asimov.html
[168/406 новая статья 168/406] https://www.kuvalda.ru/blog/articles/polz/gde-prigoditsya-gazovaya-gorelka.html
[169/406 новая статья 169/406] https://www.kuvalda.ru/blog/articles/raznoe/myach-v-igre.html
[170/406 новая статья 170/406] https://www.kuvalda.ru/blog/articles/newinstr/pervym-delom-samolety.html
[171/406 новая статья 171/406] https://www.kuvalda.ru/blog/articles/raznoe/sekretnye-sovetskie-materialy.html
[172/406 новая статья 172/406] https://www.kuvalda.ru/blog/articles/raznoe/chudo-nad-sietlom.html
[173/406 новая статья 173/406] https://www.kuvalda.ru/blog/articles/raznoe/kak-zaryadish-tak-i-pokosish.html
[174/406 новая статья 174/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/ladnoe-delo.html
[175/406 новая статья 175/406] https://www.kuvalda.ru/blog/articles/raznoe/zabit-na-slozhnosti.html
[176/406 новая статья 176/406] https://www.kuvalda.ru/blog/articles/raznoe/roboty---inzhenery.html
[177/406 новая статья 177/406] https://www.kuvalda.ru/blog/articles/raznoe/diy-vne-zakona.html
[178/406 новая статья 178/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/vysokie-chuvstva.html
[179/406 новая статья 179/406] https://www.kuvalda.ru/blog/articles/raznoe/promet.html
[180/406 новая статья 180/406] https://www.kuvalda.ru/blog/articles/newinstr/instrumentum.html
[181/406 новая статья 181/406] https://www.kuvalda.ru/blog/articles/newinstr/odin-luchshe-drugogo.html
[182/406 новая статья 182/406] https://www.kuvalda.ru/blog/articles/raznoe/ispytatelnyy-poligon-stanley.html
[183/406 новая статья 183/406] https://www.kuvalda.ru/blog/articles/events/konferenciya-husqvarna-2018-v-sochi.html
[184/406 новая статья 184/406] https://www.kuvalda.ru/blog/articles/newinstr/chem-prosche---tem-luchshe.html
[185/406 новая статья 185/406] https://www.kuvalda.ru/blog/articles/raznoe/avtorskiy-podhod-k-hraneniyu-ruchnogo-instrumenta.html
[186/406 новая статья 186/406] https://www.kuvalda.ru/blog/articles/events/lovis-rybka.html
[187/406 новая статья 187/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/tochno-v-cel.html
[188/406 новая статья 188/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/vernutsya-k-kornyam.html
[189/406 новая статья 189/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/instrumentalnyy-ansambl.html
[190/406 новая статья 190/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/guselnyh-del-master.html
[191/406 новая статья 191/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/pyaterka-po-trudu.html
[192/406 новая статья 192/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/stupeni-masterstva.html
[193/406 новая статья 193/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/sohranit-i-priumnozhit.html
[194/406 новая статья 194/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/i-smeh-i-svet.html
[195/406 новая статья 195/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/dveri-k-znaniyam.html
[196/406 новая статья 196/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/razdelyay-i-vlastvuy.html
[197/406 новая статья 197/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/stolyarnyy-modern.html
[198/406 новая статья 198/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/svaroga-vnuki.html
[199/406 новая статья 199/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/tri-tenora.html
[200/406 новая статья 200/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/more-vozmozhnostey.html
[201/406 новая статья 201/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/uralskie-skazki.html
[202/406 новая статья 202/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/zhizn-v-yarkih-kraskah.html
[203/406 новая статья 203/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/roman-s-derevom.html
[204/406 новая статья 204/406] https://www.kuvalda.ru/blog/articles/raznoe/dve-zhizni-dereva.html
[205/406 новая статья 205/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/upravlyat-mechtoy.html
[206/406 новая статья 206/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/rodom-iz-detstva.html
[207/406 новая статья 207/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/delo-mastera-boitsya.html
[208/406 новая статья 208/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/poryadok-prezhde-vsego.html
[209/406 новая статья 209/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/vzyat-naporom.html
[210/406 новая статья 210/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/programma-maksimum.html
[211/406 новая статья 211/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/eto-vam-ne-igrushki.html
[212/406 новая статья 212/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/tachka-na-prokachku.html
[213/406 новая статья 213/406] https://www.kuvalda.ru/blog/articles/zolotye_ruky/familnoe-drevo.html
